id	C4	C13	C37	C50	C59	C75	C78	C86	C118	C123	C135	C160	C176	C190	C215	C245	C258	C259	C261	C262	C278	C289	C291	C321	C324	C338	C339	C341	C347	C402	C408	C436	C472	C475	C476	C481	C504	C1167	C1248	C1262	C1286	C1292	C1345	C1349	C1358	C1390	C1391	C1510	C1541	C1548	C1549	C1552	C1564	C1669	C1712	C1765	C1796	C1970	C1985	C2048	C2124	C2309	C2343	C2448	C2449	C2646	C2947	C3082	C3403	C3450	C3473	C3679	C3854	C3879	C3884	C4073	C4103	C4131	C4136
1294	0.000	0.000	0.001	0.189	0.000	0.000	0.000	0.068	0.114	0.006	0.002	0.001	0.000	0.001	0.006	0.000	0.000	0.667	0.003	0.000	0.000	0.000	0.000	0.001	0.394	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.001	0.018	0.000	0.038	0.000	0.000	0.001	0.259	0.000	0.001	0.003	0.000	0.000	0.000	0.000	0.727	0.000	0.000	0.275	0.673	0.005	0.010	0.000	0.000	0.031	0.524	0.003	0.000	0.001	0.000	0.000	0.179	0.000	0.000	0.002	0.000	0.002	0.000	0.007	0.000	0.535	0.173	0.001	0.001	0.015
1295	0.000	0.000	0.001	0.009	0.000	0.000	0.000	0.001	0.002	0.002	0.001	0.000	0.002	0.263	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.968	0.001	0.000	0.000	0.004	0.000	0.001	0.000	0.000	0.999	0.996	0.172	0.000	0.000	0.000	0.000	0.098	0.000	0.992	0.000	0.994	0.000	0.000	0.990	0.000	0.003	0.000	0.000	0.585	0.000	0.000	0.001	0.000	0.000	0.938	0.991	0.000	0.000	0.000	0.899	0.000	0.005
1296	0.000	0.000	0.001	0.165	0.000	0.000	0.000	0.237	0.128	0.004	0.003	0.001	0.001	0.004	0.217	0.000	0.000	0.030	0.006	0.021	0.000	0.000	0.000	0.001	0.038	0.002	0.004	0.019	0.000	0.000	0.000	0.000	0.264	0.001	0.001	0.040	0.002	0.111	0.000	0.000	0.001	0.042	0.000	0.001	0.119	0.000	0.000	0.000	0.001	0.021	0.000	0.000	0.022	0.202	0.206	0.026	0.000	0.000	0.007	0.025	0.005	0.000	0.001	0.000	0.000	0.094	0.000	0.007	0.002	0.000	0.000	0.001	0.027	0.000	0.192	0.048	0.001	0.001	0.048
1297	0.901	0.028	0.000	0.006	0.000	0.973	0.015	0.007	0.035	0.001	0.000	0.592	0.000	0.004	0.003	0.018	0.000	0.001	0.002	0.002	0.997	0.299	0.921	0.001	0.004	0.001	0.000	0.003	0.027	0.000	0.000	0.011	0.001	0.034	0.000	0.002	0.000	0.097	0.000	0.011	0.000	0.056	0.971	0.001	0.004	0.000	0.000	0.001	0.003	0.001	0.000	0.000	0.003	0.192	0.001	0.001	0.042	0.000	0.001	0.003	0.000	0.016	0.002	0.785	0.251	0.339	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.004	0.039	0.002	0.010	0.980	0.383
1298	0.000	0.129	0.000	0.019	0.000	0.001	0.000	0.006	0.025	0.001	0.000	0.001	0.000	0.000	0.023	0.000	0.000	0.001	0.004	0.086	1.000	0.000	0.000	0.000	0.220	0.046	0.003	0.075	0.126	0.000	0.000	0.000	0.161	0.241	0.000	0.001	0.000	0.022	0.000	0.000	0.000	0.092	0.000	0.000	0.064	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.337	0.090	0.047	0.000	0.000	0.054	0.000	0.011	0.000	0.000	0.640	0.068	0.020	0.000	0.022	0.000	0.000	0.000	0.000	0.019	0.000	0.001	0.000	0.000	0.059	0.012
1299	0.000	0.000	0.002	0.020	0.000	0.000	0.000	0.017	0.013	0.003	0.041	0.000	0.004	0.558	0.003	0.000	0.000	0.002	0.002	0.000	0.000	0.000	0.000	0.004	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.003	0.000	0.308	0.002	0.000	0.017	0.013	0.000	0.013	0.011	0.000	0.651	0.032	0.000	0.001	0.000	0.000	0.001	0.133	0.002	0.001	0.000	0.249	0.003	0.000	0.001	0.000	0.014	0.000	0.000	0.375	0.000	0.000	0.003	0.000	0.001	0.452	0.002	0.000	0.013	0.000	0.286	0.000	0.017
1300	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.001	0.008	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.018	0.000	0.001	0.000	0.000	0.000	0.000	0.017	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.001	0.000	0.052	0.000	0.000	0.000	0.449	0.000	0.000	0.001	0.000	0.000	0.000	0.996	0.004	0.004	0.000	0.002	0.758	0.000	0.165	0.000	0.000	0.000	0.007	0.158	0.000	0.000	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.177	0.000	0.000	0.002	0.000	0.000	0.004
1301	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.001	0.897	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.950	0.000	0.004	0.000	0.000	0.000	0.002	0.002	0.002	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.012	0.000	0.000	0.000	0.371	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.155	0.841	0.000	0.022	0.688	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.011
1303	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.001	0.042	0.001	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.970	0.000	0.000	0.000	0.001	0.017	0.217	0.061	0.003	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.002	0.001	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.001	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.004	0.942	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.009
1304	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.001	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.883	0.000	0.000	0.000	0.000	0.061	0.837	0.017	0.005	0.000	0.000	0.000	0.000	0.001	0.002	0.000	0.001	0.000	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.092	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.158	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004
1305	0.000	0.000	0.000	0.076	0.000	0.000	0.000	0.008	0.196	0.001	0.000	0.000	0.000	0.000	0.007	0.000	0.000	0.989	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.004	0.000	0.009	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.989	0.000	0.000	0.988	0.045	0.000	0.001	0.000	0.000	0.000	0.979	0.000	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.997	0.944	0.000	0.001	0.004
1306	0.000	0.000	0.009	0.041	0.002	0.000	0.000	0.010	0.014	0.033	0.013	0.000	0.021	0.020	0.000	0.000	0.000	0.000	0.088	0.000	0.000	0.000	0.000	0.041	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.070	0.001	0.004	0.008	0.000	0.018	0.014	0.000	0.006	0.000	0.000	0.003	0.082	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.001	0.000	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.001	0.001	0.030
