id	C4	C13	C37	C50	C59	C75	C78	C86	C118	C123	C135	C160	C176	C190	C215	C245	C258	C259	C261	C262	C278	C289	C291	C321	C324	C338	C339	C341	C347	C402	C408	C436	C472	C475	C476	C481	C504	C1167	C1248	C1262	C1286	C1292	C1345	C1349	C1358	C1390	C1391	C1510	C1541	C1548	C1549	C1552	C1564	C1669	C1712	C1765	C1796	C1970	C1985	C2048	C2124	C2309	C2343	C2448	C2449	C2646	C2947	C3082	C3403	C3450	C3473	C3679	C3854	C3879	C3884	C4073	C4103	C4131	C4136
1	0.000	0.288	0.000	0.022	0.000	0.099	0.006	0.007	0.041	0.004	0.000	0.643	0.003	0.002	0.019	0.001	0.000	0.016	0.013	0.001	0.997	0.001	0.030	0.006	0.340	0.001	0.000	0.001	0.281	0.000	0.000	0.014	0.044	0.870	0.001	0.004	0.000	0.045	0.001	0.000	0.001	0.134	0.076	0.004	0.009	0.001	0.000	0.000	0.001	0.011	0.000	0.000	0.047	0.154	0.028	0.017	0.003	0.000	0.013	0.005	0.010	0.004	0.004	0.459	0.064	0.023	0.000	0.001	0.001	0.000	0.001	0.000	0.012	0.002	0.405	0.002	0.001	0.939	0.047
2	0.000	0.042	0.001	0.017	0.001	0.002	0.001	0.001	0.057	0.000	0.007	0.045	0.010	0.011	0.000	0.000	0.000	0.001	0.001	0.010	1.000	0.000	0.000	0.018	0.004	0.006	0.002	0.002	0.044	0.000	0.000	0.003	0.002	0.115	0.001	0.002	0.000	0.008	0.002	0.000	0.010	0.005	0.000	0.000	0.002	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.014	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.002	0.041	0.029	0.018	0.000	0.002	0.001	0.000	0.000	0.000	0.000	0.003	0.001	0.000	0.001	0.353	0.108
3	0.000	0.818	0.006	0.004	0.001	0.578	0.414	0.001	0.038	0.004	0.003	0.446	0.291	0.048	0.000	0.090	0.001	0.001	0.023	0.000	1.000	0.016	0.035	0.287	0.000	0.000	0.000	0.000	0.823	0.000	0.000	0.475	0.000	0.695	0.004	0.001	0.000	0.089	0.019	0.787	0.008	0.024	0.726	0.014	0.000	0.001	0.029	0.002	0.000	0.002	0.000	0.000	0.001	0.027	0.000	0.000	0.147	0.002	0.000	0.000	0.000	0.378	0.012	0.984	0.696	0.058	0.000	0.000	0.004	0.001	0.000	0.005	0.000	0.858	0.008	0.000	0.118	0.994	0.884
4	0.941	0.395	0.001	0.008	0.000	0.466	0.041	0.003	0.019	0.002	0.001	0.048	0.003	0.002	0.001	0.006	0.001	0.001	0.007	0.005	0.999	0.011	0.046	0.003	0.023	0.002	0.000	0.007	0.394	0.000	0.000	0.116	0.005	0.398	0.001	0.002	0.000	0.242	0.000	0.061	0.001	0.072	0.578	0.001	0.007	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.001	0.293	0.003	0.004	0.035	0.000	0.001	0.000	0.001	0.031	0.001	0.922	0.222	0.048	0.000	0.002	0.002	0.000	0.001	0.000	0.003	0.267	0.007	0.000	0.003	0.982	0.467
5	0.000	0.105	0.003	0.041	0.001	0.000	0.001	0.027	0.403	0.006	0.000	0.050	0.007	0.017	0.000	0.000	0.000	0.001	0.009	0.022	0.993	0.000	0.000	0.023	0.043	0.006	0.031	0.003	0.109	0.000	0.000	0.002	0.003	0.714	0.002	0.026	0.057	0.256	0.000	0.000	0.001	0.041	0.000	0.002	0.000	0.002	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.033	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.002	0.105	0.003	0.016	0.001	0.024	0.002	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.001	0.236	0.016
6	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.995	0.000	0.000	0.000	0.000	0.000	0.003	0.161	0.972	0.000	0.000	0.000	0.000	0.027	0.001	0.000	0.000	0.080	0.004	0.000	0.000	0.000	0.001	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.998	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003
7	0.000	0.000	0.001	0.040	0.000	0.000	0.000	0.010	0.162	0.007	0.001	0.000	0.002	0.003	0.000	0.000	0.000	0.216	0.000	0.068	0.000	0.000	0.000	0.002	0.117	0.046	0.049	0.027	0.000	0.000	0.000	0.000	0.007	0.003	0.000	0.012	0.007	0.165	0.000	0.000	0.002	0.058	0.000	0.002	0.008	0.000	0.000	0.000	0.000	0.003	0.210	0.000	0.001	0.470	0.002	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.031	0.009	0.018	0.003	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.001	0.000	0.017
8	0.000	0.346	0.000	0.002	0.000	0.000	0.000	0.000	0.426	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.938	1.000	0.000	0.000	0.000	0.015	0.296	0.605	0.461	0.362	0.000	0.000	0.000	0.040	0.072	0.000	0.000	0.175	0.010	0.000	0.000	0.000	0.005	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.127	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.911	0.402	0.001	0.771	0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.002
9	0.000	0.000	0.001	0.093	0.000	0.000	0.000	0.003	0.042	0.037	0.000	0.000	0.017	0.000	0.000	0.000	0.002	0.678	0.002	0.184	0.000	0.000	0.000	0.006	0.207	0.124	0.038	0.027	0.000	0.000	0.000	0.000	0.006	0.005	0.001	0.002	0.001	0.009	0.005	0.000	0.000	0.122	0.000	0.003	0.004	0.000	0.000	0.000	0.000	0.004	0.576	0.000	0.002	0.212	0.002	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.001	0.000	0.000	0.063	0.016	0.024	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013
11	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.033	0.317	0.003	0.000	0.000	0.000	0.000	0.006	0.000	0.637	0.907	0.000	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.024	0.006	0.091	0.000	0.000	0.000	0.891	0.000	0.000	0.002	0.000	0.000	0.001	0.014	0.018	0.016	0.324	0.008	0.554	0.002	0.092	0.000	0.002	0.000	0.671	0.108	0.000	0.001	0.000	0.000	0.223	0.000	0.000	0.001	0.000	0.000	0.001	0.128	0.000	0.084	0.003	0.001	0.000	0.008
12	0.000	1.000	0.000	0.002	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.987	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000
14	0.000	0.000	0.004	0.008	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.954	0.000	0.000	0.000	0.000	0.000	0.007	0.000	0.000	0.000	0.000	0.954	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.002	0.004	0.000	0.001	0.000	0.000	0.909	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004
16	0.000	0.979	0.000	0.011	0.000	0.002	0.001	0.000	0.045	0.000	0.000	0.957	0.003	0.000	0.000	0.000	0.000	0.000	0.973	0.000	1.000	0.000	0.000	0.002	0.001	0.001	0.000	0.000	0.965	0.000	0.000	0.001	0.001	0.958	0.001	0.000	0.000	0.002	0.000	0.000	0.000	0.066	0.002	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.550	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.234	0.037	0.002	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.947	0.075
17	0.000	0.223	0.007	0.010	0.001	0.056	0.002	0.015	0.056	0.004	0.006	0.038	0.004	0.008	0.002	0.001	0.001	0.009	0.034	0.000	0.997	0.001	0.005	0.005	0.005	0.000	0.000	0.000	0.222	0.000	0.000	0.028	0.004	0.248	0.007	0.004	0.000	0.092	0.001	0.000	0.005	0.584	0.072	0.001	0.011	0.002	0.001	0.002	0.002	0.013	0.000	0.000	0.038	0.445	0.001	0.000	0.003	0.002	0.001	0.010	0.000	0.001	0.000	0.631	0.245	0.047	0.000	0.000	0.002	0.000	0.001	0.002	0.000	0.002	0.056	0.023	0.017	0.744	0.049
18	0.000	0.003	0.085	0.035	0.005	0.001	0.001	0.015	0.183	0.023	0.014	0.774	0.043	0.024	0.000	0.000	0.000	0.001	0.018	0.000	1.000	0.000	0.001	0.227	0.002	0.000	0.000	0.000	0.003	0.000	0.000	0.005	0.000	0.128	0.064	0.018	0.000	0.021	0.003	0.000	0.019	0.001	0.001	0.012	0.001	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.007	0.014	0.008	0.010	0.000	0.000	0.041	0.001	0.003	0.000	0.000	0.004	0.232	0.000	0.166	0.918	0.778
19	0.000	0.158	0.000	0.005	0.000	0.872	0.402	0.001	0.019	0.001	0.000	0.007	0.000	0.000	0.001	0.131	0.000	0.000	0.000	0.001	1.000	0.779	0.151	0.000	0.588	0.000	0.000	0.001	0.160	0.758	0.372	0.269	0.001	0.014	0.000	0.001	0.000	0.055	0.000	0.444	0.000	0.010	0.868	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.071	0.001	0.003	0.276	0.000	0.003	0.000	0.002	0.423	0.000	0.943	0.914	0.226	0.000	0.000	0.001	0.126	0.000	0.000	0.003	0.300	0.001	0.000	0.001	0.940	0.782
20	0.000	0.987	0.000	0.001	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.988	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.005	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.787	0.000	0.000	0.000	0.000	0.999	0.993	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001
21	0.000	0.012	0.004	0.013	0.001	0.001	0.002	0.001	0.042	0.001	0.013	0.083	0.012	0.020	0.000	0.000	0.000	0.001	0.001	0.001	0.999	0.000	0.000	0.033	0.004	0.000	0.000	0.000	0.012	0.000	0.000	0.005	0.000	0.162	0.002	0.001	0.000	0.008	0.003	0.000	0.028	0.000	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.002	0.031	0.020	0.007	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.006	0.234	0.105
22	0.000	0.000	0.002	0.216	0.000	0.000	0.000	0.004	0.051	0.005	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.820	0.001	0.015	0.000	0.000	0.000	0.001	0.060	0.004	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.001	0.003	0.036	0.014	0.000	0.000	0.000	0.069	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.245	0.219	0.000	0.036	0.188	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.049	0.001	0.007	0.001	0.000	0.001	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.014
23	0.000	0.062	0.004	0.009	0.000	0.459	0.093	0.007	0.281	0.018	0.000	0.009	0.002	0.005	0.000	0.004	0.001	0.002	0.010	0.000	1.000	0.007	0.015	0.004	0.004	0.000	0.000	0.000	0.062	0.000	0.000	0.101	0.001	0.011	0.003	0.004	0.000	0.668	0.000	0.014	0.000	0.081	0.473	0.001	0.000	0.001	0.029	0.002	0.000	0.003	0.000	0.000	0.009	0.068	0.001	0.000	0.014	0.057	0.001	0.001	0.000	0.030	0.002	0.987	0.005	0.252	0.000	0.000	0.013	0.000	0.001	0.027	0.000	0.003	0.124	0.000	0.022	1.000	0.962
24	0.000	0.000	0.010	0.105	0.002	0.000	0.000	0.133	0.280	0.269	0.002	0.000	0.307	0.006	0.000	0.000	0.000	0.007	0.015	0.012	0.000	0.000	0.000	0.199	0.001	0.003	0.011	0.001	0.000	0.000	0.000	0.000	0.000	0.001	0.004	0.185	0.002	0.007	0.176	0.000	0.034	0.000	0.000	0.003	0.000	0.004	0.000	0.000	0.000	0.007	0.001	0.000	0.001	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.069	0.000	0.000	0.005	0.001	0.009	0.144	0.000	0.000	0.000	0.000	0.000	0.067	0.000	0.003	0.000	0.251
25	0.000	0.098	0.000	0.027	0.000	0.020	0.038	0.004	0.102	0.001	0.000	0.533	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.989	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.096	0.340	0.128	0.079	0.000	0.416	0.000	0.003	0.000	0.001	0.000	0.000	0.000	0.000	0.425	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.014	0.000	0.122	0.067	0.006	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.006	0.001	0.000	0.000	0.752	0.145
26	0.000	0.000	0.002	0.697	0.000	0.000	0.000	0.183	0.081	0.025	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.382	0.007	0.087	0.000	0.000	0.000	0.001	0.053	0.012	0.044	0.002	0.000	0.000	0.000	0.000	0.002	0.000	0.002	0.113	0.000	0.014	0.000	0.000	0.000	0.005	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.120	0.081	0.000	0.078	0.045	0.001	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.150	0.001	0.012	0.008	0.000	0.001	0.000	0.000	0.000	0.067	0.001	0.000	0.001	0.554
28	0.000	0.995	0.001	0.010	0.000	0.919	0.028	0.001	0.004	0.001	0.000	0.050	0.835	0.000	0.000	0.002	0.000	0.000	0.001	0.000	1.000	0.000	0.048	0.822	0.000	0.000	0.000	0.000	0.995	0.000	0.000	0.175	0.000	0.939	0.001	0.001	0.000	0.023	0.000	0.973	0.000	0.000	0.985	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.001	0.000	0.010	0.000	0.000	0.022	0.000	0.990	0.847	0.010	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.807	0.000	0.000	0.000	0.987	0.976
29	0.000	0.943	0.002	0.005	0.000	0.229	0.148	0.000	0.028	0.003	0.000	0.917	0.014	0.000	0.000	0.022	0.000	0.000	0.029	0.000	1.000	0.001	0.055	0.014	0.001	0.000	0.000	0.000	0.942	0.000	0.000	0.107	0.000	0.927	0.001	0.000	0.000	0.020	0.000	0.283	0.000	0.004	0.204	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.030	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.072	0.000	0.930	0.331	0.015	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.233	0.001	0.000	0.000	0.991	0.597
30	0.000	0.268	0.000	0.046	0.000	0.018	0.015	0.001	0.040	0.001	0.000	0.008	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.014	1.000	0.008	0.002	0.001	0.139	0.000	0.002	0.000	0.271	0.926	0.879	0.021	0.002	0.033	0.000	0.002	0.000	0.248	0.000	0.002	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.008	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.008	0.001	0.760	0.098	0.025	0.020	0.001	0.000	0.827	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.351	0.068
31	0.000	0.000	0.003	0.603	0.001	0.000	0.000	0.016	0.306	0.028	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.799	0.007	0.003	0.000	0.000	0.000	0.002	0.005	0.002	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.012	0.000	0.014	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.019	0.695	0.000	0.017	0.247	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.119	0.000	0.002	0.025	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.001	0.070
32	0.000	0.000	0.002	0.014	0.000	0.000	0.000	0.009	0.024	0.006	0.002	0.000	0.005	0.014	0.020	0.000	0.001	0.927	0.009	0.000	0.000	0.000	0.000	0.007	0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.005	0.010	0.165	0.002	0.000	0.003	0.326	0.000	0.005	0.002	0.000	0.015	0.028	0.002	0.279	0.034	0.005	0.228	0.153	0.001	0.137	0.000	0.003	0.002	0.833	0.241	0.000	0.002	0.000	0.000	0.054	0.000	0.000	0.003	0.000	0.001	0.006	0.151	0.000	0.057	0.039	0.015	0.000	0.006
33	0.000	0.000	0.000	0.034	0.000	0.000	0.000	0.015	0.233	0.011	0.000	0.001	0.000	0.000	0.000	0.000	0.004	0.411	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.003	0.000	0.195	0.000	0.000	0.000	0.582	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.020	0.117	0.000	0.010	0.423	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.001	0.013
34	0.000	0.871	0.000	0.005	0.000	0.195	0.112	0.002	0.012	0.001	0.000	0.691	0.001	0.001	0.004	0.027	0.000	0.000	0.020	0.016	1.000	0.038	0.099	0.001	0.060	0.001	0.000	0.020	0.867	0.000	0.000	0.099	0.003	0.830	0.001	0.001	0.000	0.011	0.000	0.018	0.000	0.041	0.122	0.001	0.002	0.000	0.000	0.001	0.035	0.000	0.000	0.000	0.000	0.042	0.003	0.470	0.053	0.000	0.015	0.000	0.049	0.052	0.001	0.955	0.958	0.404	0.000	0.001	0.000	0.000	0.000	0.000	0.275	0.062	0.004	0.000	0.001	0.844	0.115
36	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.001	0.023	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.976	0.000	0.000	0.000	0.000	0.998	0.999	0.000	0.000	0.000	0.000	0.000	0.001	0.217	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.999	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002
37	0.000	0.000	0.002	0.479	0.001	0.000	0.000	0.608	0.509	0.176	0.000	0.000	0.003	0.001	0.000	0.000	0.000	0.001	0.009	0.111	0.000	0.000	0.000	0.006	0.011	0.005	0.051	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.434	0.000	0.027	0.003	0.000	0.002	0.001	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.012	0.001	0.017	0.043	0.000	0.000	0.000	0.000	0.000	0.195	0.000	0.000	0.001	0.537
38	0.000	0.098	0.000	0.019	0.000	0.968	0.042	0.005	0.045	0.001	0.000	0.166	0.001	0.000	0.001	0.065	0.000	0.000	0.000	0.000	0.999	0.498	0.649	0.001	0.011	0.000	0.000	0.000	0.097	0.963	0.923	0.042	0.000	0.051	0.000	0.004	0.000	0.080	0.000	0.409	0.000	0.030	0.986	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.074	0.000	0.000	0.248	0.000	0.000	0.000	0.000	0.035	0.000	0.968	0.606	0.255	0.000	0.000	0.001	0.888	0.000	0.000	0.000	0.494	0.003	0.000	0.000	0.984	0.702
39	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.993	0.000	0.000	0.000	0.000	0.007	0.025	0.083	0.798	0.000	0.000	0.000	0.000	0.007	0.002	0.000	0.000	0.391	0.008	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.992	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002
40	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.995	0.000	0.000	0.000	0.000	0.002	0.005	0.002	0.001	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.005	0.969	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002
42	0.000	0.953	0.003	0.003	0.000	0.172	0.187	0.001	0.182	0.004	0.000	0.826	0.020	0.000	0.000	0.005	0.000	0.001	0.321	0.000	1.000	0.001	0.076	0.025	0.001	0.000	0.000	0.000	0.942	0.000	0.000	0.163	0.000	0.866	0.004	0.001	0.000	0.087	0.000	0.024	0.000	0.013	0.213	0.001	0.000	0.000	0.008	0.000	0.000	0.001	0.000	0.000	0.001	0.057	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.089	0.000	0.880	0.264	0.010	0.000	0.000	0.004	0.000	0.000	0.001	0.000	0.004	0.009	0.000	0.000	0.999	0.960
43	0.381	0.000	0.000	0.022	0.000	0.000	0.000	0.004	0.827	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.041	0.000	0.000	0.000	0.001	0.001	0.001	0.033	0.001	0.000	0.000	0.000	0.001	0.001	0.005	0.000	0.002	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.001	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.001	0.091
45	0.000	0.070	0.000	0.004	0.000	0.463	0.025	0.002	0.029	0.002	0.000	0.130	0.003	0.001	0.000	0.003	0.000	0.000	0.012	0.007	1.000	0.000	0.110	0.003	0.001	0.000	0.000	0.001	0.072	0.000	0.000	0.017	0.000	0.101	0.000	0.002	0.000	0.009	0.001	0.208	0.001	0.038	0.509	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.012	0.000	0.670	0.205	0.018	0.000	0.005	0.004	0.000	0.000	0.000	0.000	0.063	0.000	0.000	0.001	0.843	0.165
49	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.004	0.027	0.001	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.010	0.000	0.000	0.000	0.027	0.000	0.000	0.003	0.000	0.000	0.000	0.964	0.000	0.000	0.000	0.000	0.007	0.000	0.071	0.000	0.000	0.000	0.000	0.068	0.000	0.000	0.000	0.000	0.204	0.000	0.000	0.000	0.000	0.000	0.000	0.068	0.000	0.000	0.000	0.000	0.000	0.003
50	0.000	0.000	0.002	0.786	0.000	0.000	0.000	0.080	0.064	0.021	0.000	0.001	0.002	0.001	0.000	0.000	0.000	0.066	0.008	0.048	0.000	0.000	0.000	0.001	0.233	0.006	0.109	0.028	0.000	0.000	0.000	0.000	0.016	0.001	0.002	0.089	0.004	0.140	0.001	0.000	0.001	0.179	0.000	0.001	0.008	0.001	0.000	0.000	0.000	0.002	0.057	0.000	0.001	0.362	0.008	0.001	0.000	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.285	0.008	0.014	0.006	0.000	0.001	0.000	0.001	0.000	0.021	0.000	0.000	0.001	0.026
52	0.749	0.004	0.000	0.005	0.000	0.307	0.770	0.002	0.008	0.001	0.000	0.165	0.000	0.000	0.000	0.376	0.000	0.000	0.000	0.000	1.000	0.000	0.077	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.821	0.000	0.014	0.000	0.001	0.000	0.001	0.000	0.049	0.000	0.000	0.220	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.372	0.000	0.000	0.000	0.000	0.452	0.000	0.324	0.409	0.002	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.073	0.000	0.000	0.000	0.976	0.901
53	0.000	0.000	0.001	0.216	0.000	0.000	0.000	0.037	0.502	0.005	0.000	0.000	0.003	0.002	0.000	0.000	0.000	0.085	0.001	0.243	0.000	0.000	0.000	0.016	0.079	0.163	0.108	0.007	0.000	0.000	0.000	0.000	0.002	0.001	0.001	0.052	0.011	0.033	0.001	0.000	0.001	0.005	0.000	0.000	0.002	0.001	0.000	0.000	0.000	0.063	0.005	0.000	0.002	0.067	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.244	0.002	0.052	0.004	0.000	0.000	0.001	0.000	0.000	0.027	0.000	0.000	0.001	0.111
54	0.000	0.032	0.000	0.004	0.000	0.977	0.004	0.009	0.014	0.002	0.000	0.316	0.000	0.000	0.002	0.001	0.000	0.001	0.000	0.000	1.000	0.963	0.905	0.000	0.042	0.000	0.000	0.000	0.033	0.998	0.996	0.002	0.000	0.024	0.000	0.001	0.000	0.021	0.000	0.647	0.000	0.072	0.990	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.078	0.000	0.001	0.003	0.000	0.000	0.000	0.000	0.003	0.000	0.814	0.731	0.673	0.000	0.000	0.001	0.998	0.000	0.000	0.001	0.444	0.000	0.000	0.000	0.864	0.667
