Lipids and lipid-like molecules	Benzenoids	Hydrocarbons	Organic 1,3-dipolar compounds	Polycyclic hydrocarbons	Hydrocarbon derivatives	Saturated hydrocarbons	Unsaturated hydrocarbons	Unsaturated aliphatic hydrocarbons	Aromatic hydrocarbons	Phenylpropanoids and polyketides	Organic acids and derivatives	Organic oxygen compounds	Branched unsaturated hydrocarbons	1-hydroxy-2-unsubstituted benzenoids	1-hydroxy-4-unsubstituted benzenoids	1-hydroxylamino, 2-unsubstituted benzenoids	1-hydroxylamino, 4-unsubstituted benzenoids	1,4-dihydroxy-2-halobenzenoids	Organic nitrogen compounds	Nucleosides, nucleotides, and analogues	Organoheterocyclic compounds	Organophosphorus compounds	Organosulfur compounds	Lignans, neolignans and related compounds	Chemical entities
0.004370125476270914	0.00912986695766449	2.3929857707116753E-4	0.1622408777475357	2.340975152037572E-5	0.9968758225440979	3.219022764824331E-4	1.1175189138157293E-4	3.80281446268782E-4	1.1339279382127643E-7	0.0011735736625269055	0.5036436915397644	0.9999388456344604	7.534231554018334E-5	4.5303217484615743E-4	3.9918022230267525E-4	2.2624721168540418E-4	3.1292950734496117E-4	2.921901977970265E-5	0.28691983222961426	3.982187627116218E-5	0.10331907868385315	0.009468651376664639	1.7276447033509612E-4	8.432332833763212E-6	287
0.0010626952862367034	0.014399290084838867	6.355204823194072E-5	0.04593978822231293	1.133121349994326E-5	0.9998468160629272	1.987862488022074E-4	2.5978024495998397E-5	7.863574137445539E-5	1.8321095751616667E-7	6.585621740669012E-4	0.737204372882843	0.9999989867210388	1.0602972179185599E-4	0.0010267479810863733	7.273509399965405E-4	5.233264528214931E-4	6.403943407349288E-4	9.457668966206256E-6	0.9999078512191772	3.3869262551888824E-5	0.2503942847251892	0.0011518067913129926	0.5088101625442505	3.977146207034821E-6	1641
2.290767151862383E-4	0.02668951079249382	6.894484395161271E-4	0.017855452373623848	1.0513901361264288E-4	0.9995362758636475	0.0013501174980774522	3.716078936122358E-4	0.001133238896727562	4.149070718995063E-6	5.306274397298694E-4	0.3605266213417053	0.999894917011261	8.887980948202312E-4	6.592391291633248E-4	4.8151181545108557E-4	2.3637314370716922E-5	2.460384348523803E-5	2.8114779979659943E-6	0.9917124509811401	1.3898833230996388E-6	0.5167422890663147	0.0014097082894295454	0.4443191587924957	5.747122486354783E-6	791
7.540025399066508E-4	0.017080292105674744	3.792584720940795E-6	0.027277829125523567	3.3189039641001727E-6	0.9999628067016602	5.214830525801517E-5	2.083534127450548E-6	5.6447723181918263E-5	2.0368968733919246E-8	2.1849926270078868E-4	0.465981125831604	0.9998626112937927	5.5414366215700284E-5	4.415553994476795E-4	3.427002811804414E-4	4.4587279262486845E-5	6.210091669345275E-5	1.7428184264645097E-6	0.9997771382331848	7.778970029903576E-6	0.1415279060602188	0.6252747178077698	0.4033864438533783	2.100330448229215E-6	629
3.633052110671997E-4	0.00746789388358593	1.1542749234649818E-5	0.024780867621302605	2.530764049879508E-6	0.9999175667762756	4.553467806545086E-5	7.219226063170936E-6	1.7025190754793584E-4	3.869151665725212E-9	3.246651976951398E-5	0.20132571458816528	0.9987971782684326	1.919263922900427E-5	6.138623575679958E-5	2.738174043770414E-5	3.3189848181791604E-4	3.853714733850211E-4	2.0625658692097204E-7	0.9968279600143433	8.090709116004291E-7	0.13405607640743256	0.45694974064826965	3.616583126131445E-5	3.9308059740505996E-7	190
0.0068648811429739	0.007855365984141827	1.4968311006668955E-4	0.16581976413726807	1.1686867765092757E-5	0.9986597895622253	1.8183740030508488E-4	7.403527706628665E-5	2.1708226995542645E-4	6.977165867283475E-8	5.951094208285213E-4	0.6154664158821106	0.9999797344207764	4.0358070691581815E-5	3.751460462808609E-4	3.165011294186115E-4	1.7686834326013923E-4	1.9195425556972623E-4	1.0532095075177494E-5	0.4322168529033661	2.4511113224434666E-5	0.10609128326177597	0.007319670636206865	1.1964305303990841E-4	3.7780607726745075E-6	856
5.148269701749086E-4	0.03516903519630432	2.329816488781944E-4	0.06929577887058258	1.7073843991965987E-5	0.999659538269043	1.4726188965141773E-4	1.0563122486928478E-4	1.3516558101400733E-4	8.771993975642545E-7	9.234290337190032E-4	0.7587653398513794	0.9999988675117493	9.77165691438131E-5	0.0021415450610220432	0.001589229446835816	0.001344410004094243	0.0013071938883513212	2.5685238142614253E-5	0.9997291564941406	4.765910125570372E-5	0.1511254608631134	8.002294925972819E-4	0.6404730081558228	1.1138568879687227E-5	299
0.0028050898108631372	0.03116717003285885	1.3831372598360758E-5	0.05538613349199295	6.856936124677304E-6	0.9999153017997742	3.5042707168031484E-5	1.1571225513762329E-5	7.02708275639452E-5	2.080101495494091E-7	0.0010879978071898222	0.49020278453826904	0.9999482035636902	5.2958657761337236E-5	0.015644965693354607	0.004753706976771355	1.4630374789703637E-4	1.6442450578324497E-4	4.550021458271658E-6	0.9999497532844543	2.776154360617511E-5	0.47173601388931274	4.941339720971882E-4	2.2474794604931958E-5	8.392772542720195E-6	1436
7.769294898025692E-4	0.008493141271173954	5.386065367929405E-6	0.7400609850883484	1.3246057051219395E-6	0.9998083710670471	5.823992978548631E-5	1.1180060255355784E-6	1.067749963112874E-5	9.087717245392923E-9	2.015431091422215E-4	0.962513267993927	0.9999998807907104	4.7195326260407455E-6	1.1725204240065068E-4	1.0152364120585844E-4	1.1200286826351658E-4	1.0233443026663736E-4	8.344152774952818E-6	0.999829113483429	1.2491716006479692E-5	0.07121870666742325	0.8629927635192871	4.975584452040493E-4	1.306546892010374E-6	1445
4.3932258267886937E-4	0.020371628925204277	2.283317007822916E-5	0.08160357177257538	5.620544015982887E-6	0.9999407529830933	4.725918552139774E-5	1.1851249837491196E-5	3.488776201265864E-5	5.821311077625069E-8	9.146836237050593E-4	0.70549076795578	0.9999977946281433	4.3226773414062336E-5	5.183207103982568E-4	4.7567690489813685E-4	6.755451904609799E-4	6.833254010416567E-4	8.019893357413821E-6	0.9999892711639404	1.7939612007467076E-5	0.24716398119926453	4.4821540359407663E-4	0.63145911693573	3.8627113099209964E-6	760
