sharedname	SMARTS	complementary
Frag_988	[#6]-,:[#6]-,:[#6]#[#6]	(C-C-C#C)
Frag_989	[#8]-,:[#6]-,:[#6]=,:[#7]	(O-C-C=N)
Frag_990	[#8]-,:[#6]-,:[#6]=,:[#8]	(O-C-C=O)
Frag_993	[#8]=,:[#16]-,:[#6]-,:[#6]	(O=S-C-C)
Frag_995	[#6]=,:[#7]-,:[#7]-,:[#6]	(C=N-N-C)
Frag_999	[#16]:[#6]:[#6]:[#6]	(S:C:C:C)
Frag_1001	[#16]-,:[#6]:[#7]:[#6]	(S-C:N:C)
Frag_1002	[#16]:[#6]:[#6]:[#7]	(S:C:C:N)
Frag_1003	[#16]-,:[#6]=,:[#7]-,:[#6]	(S-C=N-C)
Frag_1005	[#7]-,:[#7]-,:[#6]:[#6]	(N-N-C:C)
Frag_1006	[#16]-,:[#6]=,:[#7&!H0]	(S-C=N-[#1])
Frag_1008	[#6]:[#16]:[#6]-,:[#6]	(C:S:C-C)
Frag_1011	[#7]-,:[#16]-,:[#6]:[#6]	(N-S-C:C)
Frag_1013	[#7]:[#6]:[#6]:[#7]	(N:C:C:N)
Frag_1014	[#7]-,:[#6]:[#7]:[#7]	(N-C:N:N)
Frag_1016	[#7]-,:[#6]=,:[#7&!H0]	(N-C=N-[#1])
Frag_1017	[#7]-,:[#6]-,:[#16]-,:[#6]	(N-C-S-C)
Frag_1019	[#6]-,:[#7]:[#6&!H0]	(C-N:C-[#1])
Frag_1022	[#8]=,:[#6]-,:[#6]:[#7]	(O=C-C:N)
Frag_1023	[#6]-,:[#7]-,:[#6]:[#6]	(C-N-C:C)
Frag_1024	[#7]:[#7]-,:[#6&!H0]	(N:N-C-[#1])
Frag_1027	[#7]-,:[#6]:[#6]:[#7]	(N-C:C:N)
Frag_1028	[#6]-,:[#16]-,:[#6]:[#6]	(C-S-C:C)
Frag_1030	[#7]-,:[#6]=,:[#6&!H0]	(N-C=C-[#1])
Frag_1031	[Cl]-,:[#6]:[#6&!H0]	(Cl-C:C-[#1])
Frag_1033	[Cl]-,:[#6]:[#6]-,:[#8]	(Cl-C:C-O)
Frag_1036	[#16]=,:[#6]-,:[#7]-,:[#6]	(S=C-N-C)
Frag_1039	[#16]=,:[#6]-,:[#7&!H0]	(S=C-N-[#1])
Frag_1041	[#16]:[#6]:[#6&!H0]	(S:C:C-[#1])
Frag_1042	[#8]-,:[#7]-,:[#6]-,:[#6]	(O-N-C-C)
Frag_1043	[#7]-,:[#7]-,:[#6]-,:[#6]	(N-N-C-C)
Frag_1044	[#6H,#6H2,#6H3]=,:[#6H,#6H2,#6H3]	([#1]-C=C-[#1])
Frag_1045	[#7]-,:[#7]-,:[#6]-,:[#7]	(N-N-C-N)
Frag_1047	[#7]=,:[#6]-,:[#7]-,:[#6]	(N=C-N-C)
Frag_1049	[#6]:[#7]-,:[#6&!H0]	(C:N-C-[#1])
Frag_1050	[#6]-,:[#7]-,:[#7&!H0]	(C-N-N-[#1])
Frag_1051	[#7]:[#6]:[#6]-,:[#6]	(N:C:C-C)
Frag_1054	[Cl]-,:[#6]:[#6]-,:[Cl]	(Cl-C:C-Cl)
Frag_1056	[#7&!H0]-,:[#6&!H0]	([#1]-N-C-[#1])
Frag_1057	[Cl]-,:[#6]-,:[#6]-,:[Cl]	(Cl-C-C-Cl)
Frag_1060	[#16]-,:[#6]:[#6&!H0]	(S-C:C-[#1])
Frag_1061	[#16]-,:[#6]:[#6]-,:[#7]	(S-C:C-N)
Frag_1063	[#8]=,:[#6]-,:[#6]-,:[#6]	(O=C-C-C)
Frag_1064	[#8]=,:[#6]-,:[#6]-,:[#7]	(O=C-C-N)
Frag_1067	[#7]=,:[#6]-,:[#6&!H0]	(N=C-C-[#1])
Frag_1068	[#6]-,:[#7]-,:[#6&!H0]	(C-N-C-[#1])
Frag_1069	[#8]-,:[#6]:[#6]-,:[#6]	(O-C:C-C)
Frag_1071	[#8]-,:[#6]:[#6]-,:[#7]	(O-C:C-N)
Frag_1072	[#8]-,:[#6]:[#6]-,:[#8]	(O-C:C-O)
Frag_1075	[#7]-,:[#6]:[#6]-,:[#7]	(N-C:C-N)
Frag_1077	[#7]-,:[#6]-,:[#6]:[#6]	(N-C-C:C)
Frag_1078	[Cl]-,:[#6]-,:[#6]-,:[#6]	(Cl-C-C-C)
Frag_1079	[Cl]-,:[#6]-,:[#6]-,:[#8]	(Cl-C-C-O)
Frag_1081	[#8]=,:[#6]-,:[#6]=,:[#6]	(O=C-C=C)
Frag_1082	[Br]-,:[#6]-,:[#6]-,:[#6]	(Br-C-C-C)
Frag_1083	[#7]=,:[#6]-,:[#6]=,:[#6]	(N=C-C=C)
Frag_1086	[#8]=,:[#7]-,:c:c	(O=N-C:C)
Frag_1087	[#8]-,:[#6]-,:[#7&!H0]	(O-C-N-[#1])
Frag_1088	[#7]-,:[#6]-,:[#7]-,:[#6]	(N-C-N-C)
Frag_1089	[Cl]-,:[#6]-,:[#6]=,:[#8]	(Cl-C-C=O)
Frag_1094	[#8]-,:[#6]-,:[#6]-,:[#7]	(O-C-C-N)
Frag_1095	[#8]-,:[#6]-,:[#6]-,:[#8]	(O-C-C-O)
Frag_1097	[#7]-,:[#6]-,:[#6]-,:[#7]	(N-C-C-N)
Frag_1099	[#6&!H0]-,:[#8&!H0]	([#1]-C-O-[#1])
Frag_1101	[#8]-,:[#6]-,:[#6]=,:[#6]	(O-C-C=C)
Frag_1103	[#8]-,:[#6]-,:[#6]:[#6]-,:[#8]	(O-C-C:C-O)
Frag_1104	[#7]=,:[#6]-,:[#6]:[#6&!H0]	(N=C-C:C-[#1])
Frag_1105	c:c-,:[#7]-,:c:c	(C:C-N-C:C)
Frag_1106	[#6]-,:[#6]:[#6]-,:c:c	(C-C:C-C:C)
Frag_1108	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#7]	(O=C-C-C-N)
Frag_1109	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#8]	(O=C-C-C-O)
Frag_1111	[Cl]-,:[#6]:[#6]-,:[#8]-,:[#6]	(Cl-C:C-O-C)
Frag_1114	[#6]-,:[#16]-,:[#6]-,:[#6]-,:[#6]	(C-S-C-C-C)
Frag_1116	[#8]=,:[#6]-,:[#6]-,:[#6]=,:[#8]	(O=C-C-C=O)
Frag_1117	[#6]-,:[#6]:[#6]-,:[#8]-,:[#6]	(C-C:C-O-C)
Frag_1120	[#7]-,:[#6]-,:[#6]-,:[#6]-,:[#6]	(N-C-C-C-C)
Frag_1121	[#7]-,:[#6]-,:[#6]-,:[#6]-,:[#7]	(N-C-C-C-N)
Frag_1122	[#6]-,:[#8]-,:[#6]-,:[#6]=,:[#6]	(C-O-C-C=C)
Frag_1125	[#8]=,:[#6]-,:[#6]-,:c:c	(O=C-C-C:C)
Frag_1126	[Cl]-,:[#6]:[#6]:[#6]-,:[#6]	(Cl-C:C:C-C)
Frag_1130	[#8]=,:[#6]-,:[#6]-,:[#7]-,:[#6]	(O=C-C-N-C)
Frag_1132	[#6]-,:[#8]-,:[#6]-,:[#6]:c	(C-O-C-C:C)
Frag_1133	[#8]=,:[#6]-,:[#6]-,:[#8]-,:[#6]	(O=C-C-O-C)
Frag_1135	[#7]-,:[#6]-,:[#6]-,:[#6]:c	(N-C-C-C:C)
Frag_1137	[Cl]-,:[#6]-,:[#6]-,:[#7]-,:[#6]	(Cl-C-C-N-C)
Frag_1140	[#7]-,:[#6]-,:[#8]-,:[#6]-,:[#6]	(N-C-O-C-C)
Frag_1141	[#6]-,:[#7]-,:[#6]-,:[#6]-,:[#6]	(C-N-C-C-C)
Frag_1142	[#6]-,:[#6]-,:[#8]-,:[#6]-,:[#6]	(C-C-O-C-C)
Frag_1143	[#7]-,:[#6]-,:[#6]-,:[#8]-,:[#6]	(N-C-C-O-C)
Frag_1144	c:c:n:n:c	(C:C:N:N:C)
Frag_1145	[#6]-,:[#6]-,:[#6]-,:[#8&!H0]	(C-C-C-O-[#1])
Frag_1148	c:c-,:[#8]-,:[#6]-,:[#6]	(C:C-O-C-C)
Frag_1149	[#7]-,:[#6]:c:c:n	(N-C:C:C:N)
Frag_1150	[#8]=,:[#6]-,:[#8]-,:[#6]:c	(O=C-O-C:C)
Frag_1151	[#8]=,:[#6]-,:[#6]:[#6]-,:[#6]	(O=C-C:C-C)
Frag_1153	[#8]=,:[#6]-,:[#6]:[#6]-,:[#8]	(O=C-C:C-O)
Frag_1156	[#6]-,:[#7]-,:[#6]-,:[#6]:c	(C-N-C-C:C)
Frag_1158	[#8]-,:[#6]:[#6]-,:[#8]-,:[#6]	(O-C:C-O-C)
Frag_1159	[#8]-,:[#6]:[#6]-,:[#8&!H0]	(O-C:C-O-[#1])
Frag_1161	[#7]-,:[#6]-,:[#6]:[#6]-,:[#6]	(N-C-C:C-C)
Frag_1164	[#6]-,:[#7]-,:[#6]-,:[#7]-,:[#6]	(C-N-C-N-C)
Frag_1165	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]	(O-C-C-C-C)
Frag_1166	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#7]	(O-C-C-C-N)
Frag_1167	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#8]	(O-C-C-C-O)
Frag_1168	[#6]=,:[#6]-,:[#6]-,:[#6]-,:[#6]	(C=C-C-C-C)
Frag_1169	[#8]-,:[#6]-,:[#6]-,:[#6]=,:[#6]	(O-C-C-C=C)
Frag_1171	[#6&!H0]-,:[#6]-,:[#7&!H0]	([#1]-C-C-N-[#1])
Frag_1172	[#6]-,:[#6]=,:[#7]-,:[#7]-,:[#6]	(C-C=N-N-C)
Frag_1173	[#8]=,:[#6]-,:[#7]-,:[#6]-,:[#6]	(O=C-N-C-C)
Frag_1174	[#8]=,:[#6]-,:[#7]-,:[#6&!H0]	(O=C-N-C-[#1])
Frag_1175	[#8]=,:[#6]-,:[#7]-,:[#6]-,:[#7]	(O=C-N-C-N)
Frag_1176	[#8]=,:[#7]-,:[#6]:[#6]-,:[#7]	(O=N-C:C-N)
Frag_1178	[#8]=,:[#6]-,:[#7]-,:[#6]=,:[#8]	(O=C-N-C=O)
Frag_1180	[#8]-,:[#6]:[#6]:[#6]-,:[#7]	(O-C:C:C-N)
Frag_1183	[#8]-,:[#6]-,:[#6]-,:[#6]:c	(O-C-C-C:C)
Frag_1184	[#6]-,:[#6]-,:[#7]-,:[#6]-,:[#6]	(C-C-N-C-C)
Frag_1186	[#6]-,:[#6]-,:[#16]-,:[#6]-,:[#6]	(C-C-S-C-C)
Frag_1187	[#8]-,:[#6]-,:[#6]-,:[#7]-,:[#6]	(O-C-C-N-C)
Frag_1189	[#8]-,:[#6]-,:[#8]-,:[#6]-,:[#6]	(O-C-O-C-C)
Frag_1190	[#8]-,:[#6]-,:[#6]-,:[#8]-,:[#6]	(O-C-C-O-C)
Frag_1191	[#8]-,:[#6]-,:[#6]-,:[#8&!H0]	(O-C-C-O-[#1])
Frag_1193	[#7]-,:[#6]:[#6]-,:[#6]-,:[#6]	(N-C:C-C-C)
Frag_1195	[#6]=,:[#6]-,:[#6]-,:[#8&!H0]	(C=C-C-O-[#1])
Frag_1200	[#8]=,:[#6]-,:[#6]=,:[#6&!H0]	(O=C-C=C-[#1])
Frag_1201	[#8]=,:[#6]-,:[#6]=,:[#6]-,:[#7]	(O=C-C=C-N)
Frag_1202	[#7]-,:[#6]-,:[#7]-,:[#6]:c	(N-C-N-C:C)
Frag_1203	[Br]-,:[#6]-,:[#6]-,:[#6]:c	(Br-C-C-C:C)
Frag_1207	[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]	(C-C-C-C-C-C)
Frag_1209	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]	(O-C-C-C-C-O)
Frag_1210	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#7]	(O-C-C-C-C-N)
Frag_1212	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]	(O=C-C-C-C-C)
Frag_1213	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#7]	(O=C-C-C-C-N)
Frag_1214	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]	(O=C-C-C-C-O)
Frag_1215	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]=,:[#8]	(O=C-C-C-C=O)
Frag_1216	[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]	(C-C-C-C-C-C-C)
Frag_1217	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]	(O-C-C-C-C-C-C)
Frag_1218	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]	(O-C-C-C-C-C-O)
Frag_1219	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#7]	(O-C-C-C-C-C-N)
Frag_1221	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]	(O=C-C-C-C-C-O)
Frag_1222	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]=,:[#8]	(O=C-C-C-C-C=O)
Frag_1223	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#7]	(O=C-C-C-C-C-N)
Frag_1224	[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]	(C-C-C-C-C-C-C-C)
Frag_1225	[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6](-,:[#6])-,:[#6]	(C-C-C-C-C-C(C)-C)
Frag_1226	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]	(O-C-C-C-C-C-C-C)
Frag_1227	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6](-,:[#6])-,:[#6]	(O-C-C-C-C-C(C)-C)
Frag_1228	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:[#6]	(O-C-C-C-C-C-O-C)
Frag_1229	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6](-,:[#8])-,:[#6]	(O-C-C-C-C-C(O)-C)
Frag_1230	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#7]-,:[#6]	(O-C-C-C-C-C-N-C)
Frag_1231	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6](-,:[#7])-,:[#6]	(O-C-C-C-C-C(N)-C)
Frag_1232	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]	(O=C-C-C-C-C-C-C)
Frag_1233	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6](-,:[#8])-,:[#6]	(O=C-C-C-C-C(O)-C)
Frag_1234	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6](=,:[#8])-,:[#6]	(O=C-C-C-C-C(=O)-C)
Frag_1235	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6](-,:[#7])-,:[#6]	(O=C-C-C-C-C(N)-C)
Frag_1238	[#6]-,:[#6]-,:[#6](-,:[#6])-,:[#6]-,:[#6]	(C-C-C(C)-C-C)
Frag_1239	[#6]-,:[#6](-,:[#6])(-,:[#6])-,:[#6]-,:[#6]	(C-C(C)(C)-C-C)
Frag_1240	[#6]-,:[#6](-,:[#6])-,:[#6](-,:[#6])-,:[#6]	(C-C(C)-C(C)-C)
Frag_1241	[#6]c1ccc([#6])cc1	(Cc1ccc(C)cc1)
Frag_1242	[#6]c1ccc([#8])cc1	(Cc1ccc(O)cc1)
Frag_1243	[#6]c1ccc([#16])cc1	(Cc1ccc(S)cc1)
Frag_1244	[#6]c1ccc([#7])cc1	(Cc1ccc(N)cc1)
Frag_1245	[#6]c1ccc(Cl)cc1	(Cc1ccc(Cl)cc1)
Frag_1249	[#8]c1ccc([#7])cc1	(Oc1ccc(N)cc1)
Frag_1250	[#8]c1ccc(Cl)cc1	(Oc1ccc(Cl)cc1)
Frag_1253	[#16]c1ccc([#7])cc1	(Sc1ccc(N)cc1)
Frag_1262	[#6]c1cc([#6])ccc1	(Cc1cc(C)ccc1)
Frag_1263	[#6]c1cc([#8])ccc1	(Cc1cc(O)ccc1)
Frag_1265	[#6]c1cc([#7])ccc1	(Cc1cc(N)ccc1)
Frag_1266	[#6]c1cc(Cl)ccc1	(Cc1cc(Cl)ccc1)
Frag_1267	[#6]c1cc(Br)ccc1	(Cc1cc(Br)ccc1)
Frag_1277	[#7]c1cc([#7])ccc1	(Nc1cc(N)ccc1)
Frag_1278	[#7]c1cc(Cl)ccc1	(Nc1cc(Cl)ccc1)
Frag_1283	[#6]c1c([#6])cccc1	(Cc1c(C)cccc1)
Frag_1284	[#6]c1c([#8])cccc1	(Cc1c(O)cccc1)
Frag_1285	[#6]c1c([#16])cccc1	(Cc1c(S)cccc1)
Frag_1286	[#6]c1c([#7])cccc1	(Cc1c(N)cccc1)
Frag_1291	[#8]c1c([#7])cccc1	(Oc1c(N)cccc1)
Frag_1292	[#8]c1c(Cl)cccc1	(Oc1c(Cl)cccc1)
Frag_1298	[#7]c1c([#7])cccc1	(Nc1c(N)cccc1)
Frag_1304	[#6][#6]1[#6][#6][#6]([#6])[#6][#6]1	(CC1CCC(C)CC1)
Frag_1305	[#6][#6]1[#6][#6][#6]([#8])[#6][#6]1	(CC1CCC(O)CC1)
Frag_1307	[#6][#6]1[#6][#6][#6]([#7])[#6][#6]1	(CC1CCC(N)CC1)
Frag_1310	[#8][#6]1[#6][#6][#6]([#8])[#6][#6]1	(OC1CCC(O)CC1)
Frag_1312	[#8][#6]1[#6][#6][#6]([#7])[#6][#6]1	(OC1CCC(N)CC1)
Frag_1325	[#6][#6]1[#6][#6]([#6])[#6][#6][#6]1	(CC1CC(C)CCC1)
Frag_1326	[#6][#6]1[#6][#6]([#8])[#6][#6][#6]1	(CC1CC(O)CCC1)
Frag_1327	[#6][#6]1[#6][#6]([#16])[#6][#6][#6]1	(CC1CC(S)CCC1)
Frag_1328	[#6][#6]1[#6][#6]([#7])[#6][#6][#6]1	(CC1CC(N)CCC1)
Frag_1331	[#8][#6]1[#6][#6]([#8])[#6][#6][#6]1	(OC1CC(O)CCC1)
Frag_1333	[#8][#6]1[#6][#6]([#7])[#6][#6][#6]1	(OC1CC(N)CCC1)
Frag_1340	[#7][#6]1[#6][#6]([#7])[#6][#6][#6]1	(NC1CC(N)CCC1)
Frag_1343	Cl[#6]1[#6][#6](Cl)[#6][#6][#6]1	(ClC1CC(Cl)CCC1)
Frag_1346	[#6][#6]1[#6]([#6])[#6][#6][#6][#6]1	(CC1C(C)CCCC1)
Frag_1347	[#6][#6]1[#6]([#8])[#6][#6][#6][#6]1	(CC1C(O)CCCC1)
Frag_1348	[#6][#6]1[#6]([#16])[#6][#6][#6][#6]1	(CC1C(S)CCCC1)
Frag_1350	[#6][#6]1[#6](Cl)[#6][#6][#6][#6]1	(CC1C(Cl)CCCC1)
Frag_1352	[#8][#6]1[#6]([#8])[#6][#6][#6][#6]1	(OC1C(O)CCCC1)
Frag_1354	[#8][#6]1[#6]([#7])[#6][#6][#6][#6]1	(OC1C(N)CCCC1)
Frag_1355	[#8][#6]1[#6](Cl)[#6][#6][#6][#6]1	(OC1C(Cl)CCCC1)
Frag_1358	[#16][#6]1[#6]([#7])[#6][#6][#6][#6]1	(SC1C(N)CCCC1)
Frag_1364	Cl[#6]1[#6](Cl)[#6][#6][#6][#6]1	(ClC1C(Cl)CCCC1)
Frag_1367	[#6][#6]1[#6][#6]([#6])[#6][#6]1	(CC1CC(C)CC1)
Frag_1370	[#6][#6]1[#6][#6]([#7])[#6][#6]1	(CC1CC(N)CC1)
Frag_1373	[#8][#6]1[#6][#6]([#8])[#6][#6]1	(OC1CC(O)CC1)
Frag_1388	[#6][#6]1[#6]([#6])[#6][#6][#6]1	(CC1C(C)CCC1)
Frag_1391	[#6][#6]1[#6]([#7])[#6][#6][#6]1	(CC1C(N)CCC1)
Frag_1394	[#8][#6]1[#6]([#8])[#6][#6][#6]1	(OC1C(O)CCC1)
Frag_1409	[!#1][CH]([!#1])[!#1]	([!#1][CH]([!#1])[!#1])
Frag_1410	[!#1][CH]([!#1])[CH]([!#1])[!#1]	
Frag_1416	[!#1][CH]([!#1])[CH2][CH2]C([!#1])([!#1])[CH3]	
Frag_1418	[!#1][CH]([!#1])[CH2]C(=O)[!#1]	
Frag_1422	[!#1][CH]([!#1])[CH3]	
Frag_1424	[!#1][CH]([!#1])[NH]C(=O)[!#1]	
Frag_1426	[!#1][CH]([!#1])C([!#1])([!#1])[!#1]	
Frag_1427	[!#1][CH]([!#1])C([!#1])([CH3])[CH3]	
Frag_1428	[!#1][CH]([!#1])C(=O)[!#1]	
Frag_1433	[!#1][CH]([!#1])C(=O)[OH]	
Frag_1441	[!#1][CH]([!#1])c1[cH][cH][cH][cH][cH]1	
Frag_1450	[!#1][CH]([!#1])c1[cH][cH][cH]n[cH]1	
Frag_1453	[!#1][CH]([!#1])c1[cH][cH]c([!#1])[cH][cH]1	
Frag_1460	[!#1][CH]([!#1])c1[cH][cH]c([OH])[cH][cH]1	
Frag_1475	[!#1][CH]([!#1])N([!#1])[CH3]	
Frag_1477	[!#1][CH]([!#1])N([CH3])[CH3]	
Frag_1480	[!#1][CH]([!#1])OC(=O)[!#1]	
Frag_1482	[!#1][CH]([CH]([CH3])[CH3])C(=O)[OH]	
Frag_1484	[!#1][CH]([CH2][CH2]C(=O)[OH])C(=O)[OH]	
Frag_1485	[!#1][CH]([CH2][CH2]S[CH3])C(=O)[OH]	
Frag_1498	[!#1][CH]([CH2]C(=O)[OH])C(=O)[OH]	
Frag_1499	[!#1][CH]([CH3])[CH2][CH3]	
Frag_1500	[!#1][CH]([CH3])[CH3]	
Frag_1501	[!#1][CH]([CH3])[NH]C(=O)[!#1]	
Frag_1506	[!#1][CH]([CH3])C(=O)[!#1]	
Frag_1510	[!#1][CH]([CH3])N([!#1])C(=O)[!#1]	
Frag_1512	[!#1][CH]([NH]C(=O)[!#1])C(=O)[OH]	
Frag_1518	[!#1][CH]([NH2])[CH2]C(=O)[OH]	
Frag_1519	[!#1][CH]([NH2])C(=O)[OH]	
Frag_1523	[!#1][CH]([OH])[CH2][OH]	
Frag_1534	[!#1][CH]=[CH][!#1]	
Frag_1541	[!#1][CH]=[CH]C(=O)[!#1]	
Frag_1544	[!#1][CH]=[CH]C(=O)[OH]	
Frag_1616	[!#1][CH]1[CH2][CH2][CH]([!#1])[CH2][CH2]1	
Frag_1622	[!#1][CH]1[CH2][CH2][CH2][CH2][CH2]1	
Frag_1626	[!#1][CH]1[CH2][CH2][CH2][CH2]N1[!#1]	
Frag_1632	[!#1][CH]1[CH2][CH2][CH2]N1[!#1]	
Frag_1636	[!#1][CH]1[CH2][CH2]1	
Frag_1640	[!#1][CH]1[CH2][CH2]N([!#1])[CH2][CH2]1	
Frag_1641	[!#1][CH]1[CH2][CH2]OC1=O	
Frag_1697	[!#1][CH]1O[CH]([CH]([!#1])[CH]1[!#1])n2[cH]nc3c([!#1])n[cH]nc23	
Frag_1698	[!#1][CH]1O[CH]([CH2][OH])[CH]([OH])[CH]([OH])[CH]1[OH]	
Frag_1699	[!#1][CH]1O[CH]([CH2][OH])[CH]([OH])[CH]1[OH]	
Frag_1700	[!#1][CH]1O[CH]([CH3])[CH]([OH])[CH]([OH])[CH]1[OH]	
Frag_1705	[!#1][CH2][!#1]	
Frag_1706	[!#1][CH2][CH]([!#1])[!#1]	
Frag_1707	[!#1][CH2][CH]([!#1])[CH3]	
Frag_1708	[!#1][CH2][CH]([!#1])[OH]	
Frag_1710	[!#1][CH2][CH]([!#1])C(=O)[!#1]	
Frag_1711	[!#1][CH2][CH]([!#1])C(=O)[NH][!#1]	
Frag_1712	[!#1][CH2][CH]([!#1])C(=O)[OH]	
Frag_1715	[!#1][CH2][CH]([CH3])[CH3]	
Frag_1718	[!#1][CH2][CH]([CH3])[NH2]	
Frag_1720	[!#1][CH2][CH]([CH3])O[!#1]	
Frag_1722	[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)[NH][!#1]	
Frag_1723	[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)[OH]	
Frag_1726	[!#1][CH2][CH]([NH]C(=O)[CH2]O[!#1])C(=O)[OH]	
Frag_1728	[!#1][CH2][CH]([NH]C(=O)[CH3])C(=O)[OH]	
Frag_1733	[!#1][CH2][CH]([NH2])C(=O)[OH]	
Frag_1734	[!#1][CH2][CH]([OH])[CH2][!#1]	
Frag_1735	[!#1][CH2][CH]([OH])[CH2][NH][!#1]	
Frag_1736	[!#1][CH2][CH]([OH])[CH2][OH]	
Frag_1744	[!#1][CH2][CH]([OH])[CH2]O[!#1]	
Frag_1746	[!#1][CH2][CH]=[CH][!#1]	
Frag_1750	[!#1][CH2][CH2][CH]([CH3])[CH3]	
Frag_1751	[!#1][CH2][CH2][CH]=C([CH3])[CH3]	
Frag_1752	[!#1][CH2][CH2][CH2][!#1]	
Frag_1754	[!#1][CH2][CH2][CH2][CH2][!#1]	
Frag_1756	[!#1][CH2][CH2][CH2][CH2][CH2][CH2][!#1]	
Frag_1757	[!#1][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH3]	
Frag_1758	[!#1][CH2][CH2][CH2][CH2][CH2][CH3]	
Frag_1759	[!#1][CH2][CH2][CH2][CH2][CH2]C(=O)[NH][!#1]	
Frag_1760	[!#1][CH2][CH2][CH2][CH2][CH2]C(=O)[OH]	
Frag_1762	[!#1][CH2][CH2][CH2][CH2][CH3]	
Frag_1763	[!#1][CH2][CH2][CH2][CH2][NH]C(=O)[!#1]	
Frag_1766	[!#1][CH2][CH2][CH2][CH2]C(=O)[OH]	
Frag_1767	[!#1][CH2][CH2][CH2][CH2]C(=O)O[CH3]	
Frag_1770	[!#1][CH2][CH2][CH2][CH3]	
Frag_1771	[!#1][CH2][CH2][CH2][NH][!#1]	
Frag_1772	[!#1][CH2][CH2][CH2][NH]C(=O)[!#1]	
Frag_1774	[!#1][CH2][CH2][CH2][NH2]	
Frag_1776	[!#1][CH2][CH2][CH2]C(=O)[!#1]	
Frag_1777	[!#1][CH2][CH2][CH2]C(=O)[NH][!#1]	
Frag_1778	[!#1][CH2][CH2][CH2]C(=O)[OH]	
Frag_1779	[!#1][CH2][CH2][CH2]C(=O)O[CH3]	
Frag_1783	[!#1][CH2][CH2][CH2]O[!#1]	
Frag_1790	[!#1][CH2][CH2][CH3]	
Frag_1791	[!#1][CH2][CH2][NH][!#1]	
Frag_1795	[!#1][CH2][CH2][NH]C(=O)[!#1]	
Frag_1799	[!#1][CH2][CH2][NH]C(=O)[CH2][CH2][!#1]	
Frag_1805	[!#1][CH2][CH2][NH2]	
Frag_1806	[!#1][CH2][CH2][OH]	
Frag_1809	[!#1][CH2][CH2]C(=O)[!#1]	
Frag_1811	[!#1][CH2][CH2]C(=O)[NH][!#1]	
Frag_1816	[!#1][CH2][CH2]C(=O)[NH2]	
Frag_1817	[!#1][CH2][CH2]C(=O)[OH]	
Frag_1818	[!#1][CH2][CH2]C(=O)O[!#1]	
Frag_1819	[!#1][CH2][CH2]C(=O)O[CH2][CH3]	
Frag_1820	[!#1][CH2][CH2]C(=O)O[CH3]	
Frag_1821	[!#1][CH2][CH2]c1[cH][cH][cH][cH][cH]1	
Frag_1841	[!#1][CH2][CH2]N([!#1])[CH2][CH2]O[!#1]	
Frag_1842	[!#1][CH2][CH2]N([!#1])[CH2][CH3]	
