sharedname	SMARTS	complementary
Frag_144	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[SX2][#6;!$(C=[O,N,S])]	(Carbothioic_S_ester)
Frag_152	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]	(Amide)
Frag_153	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[NX3H2]	(Primary_amide)
Frag_154	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3H1][#6;!$(C=[O,N,S])]	(Secondary_amide)
Frag_155	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])]	(Tertiary_amide)
Frag_156	[#6R][#6X3R](=[OX1])[#7X3;$([H1][#6;!$(C=[O,N,S])]),$([H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]	(Lactam)
Frag_163	[NX3;!$(NC=[O,S])][CX3;$([CH]),$([C][#6])]=[NX2;!$(NC=[O,S])]	(Amidine)
Frag_164	[CX3;$([H0][#6]),$([H1])](=[OX1])[#7X3;$([H1]),$([H0][#6;!$(C=[O,N,S])])][$([OX2H]),$([OX1-])]	(Hydroxamic_acid)
Frag_169	[#6R][#6X3R](=,:[#7X2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[OX2][#6;!$(C=[O,N,S])]	(Imidolactone)
Frag_175	[#6][#6X3R;$([H0](=[NX2;!$(N(=[#6X3][#7X3])C=[O,S])])[#7X3;!$(N([#6X3]=[#7X2])C=[O,S])]),$([H0](-[NX3;!$(N([#6X3]=[#7X2])C=[O,S])])=,:[#7X2;!$(N(=[#6X3][#7X3])C=[O,S])])]	(Imidolactam)
Frag_177	[#6R][#6X3R](=,:[#7X2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[FX1,ClX1,BrX1,IX1]	(Imidoylhalide_cyclic)
Frag_179	[NX3,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])][C][CX3](=[OX1])[OX2H,OX1-]	(Alpha_aminoacid)
Frag_181	[NX3;$([N][CX3](=[OX1])[C][NX3,NX4+])][C][CX3](=[OX1])[NX3;$([N][C][CX3](=[OX1])[NX3,OX2,OX1-])]	(Peptide_middle)
Frag_182	[NX3;$([N][CX3](=[OX1])[C][NX3,NX4+])][C][CX3](=[OX1])[OX2H,OX1-]	(Peptide_C_term)
Frag_183	[NX3,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])][C][CX3](=[OX1])[NX3;$([N][C][CX3](=[OX1])[NX3,OX2,OX1-])]	(Peptide_N_term)
Frag_189	[#6X3](=[OX1])[#6X3]=,:[#6X3][#7,#8,#16,F,Cl,Br,I]	(Vinylogous_carbonyl_or_carboxyl_derivative)
Frag_190	[#6X3](=[OX1])[#6X3]=,:[#6X3][$([OX2H]),$([OX1-])]	(Vinylogous_acid)
Frag_191	[#6X3](=[OX1])[#6X3]=,:[#6X3][#6;!$(C=[O,N,S])]	(Vinylogous_ester)
Frag_192	[#6X3](=[OX1])[#6X3]=,:[#6X3][#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]	(Vinylogous_amide)
Frag_193	[#6X3](=[OX1])[#6X3]=,:[#6X3][FX1,ClX1,BrX1,IX1]	(Vinylogous_halide)
Frag_197	[!#6][#6X3](=[!#6])[!#6]	(Carbonic_acid_derivatives)
Frag_201	[#7X3;!$([#7][!#6])][#6X3](=[OX1])[#7X3;!$([#7][!#6])]	(Urea)
Frag_202	[#7X3;!$([#7][!#6])][#6X3](=[SX1])[#7X3;!$([#7][!#6])]	(Thiourea)
Frag_204	[#7X2;!$([#7][!#6])]=,:[#6X3]([#16X2&!$([#16][!#6]),SX1-])[#7X3;!$([#7][!#6])]	(Isothiourea)
Frag_207	[#7X3][#6](=[OX1])[#8X2][#6]	(Urethan)
Frag_231	[c]=[OX1]	(Oxoarene)
Frag_233	[nX3H1+0]	(Hetero_N_basic_H)
Frag_234	[nX3H0+0]	(Hetero_N_basic_no_H)
Frag_235	[nX2,nX3+]	(Hetero_N_nonbasic)
Frag_237	[sX2]	(Hetero_S)
Frag_238	[a;!c]	(Heteroaromatic)
Frag_254	[$([SX4](=[OX1])(=[OX1])([#6])[#6]),$([SX4+2]([OX1-])([OX1-])([#6])[#6])]	(Sulfon)
Frag_258	[SX4](=[OX1])(=[OX1])([$([OX2H]),$([OX1-])])[OX2][#6;!$(C=[O,N,S])]	(Sulfuric_monoester)
Frag_263	[SX4D4](=[!#6])(=[!#6])([!#6])[!#6]	(Sulfuric_derivative)
Frag_264	[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[$([OX2H]),$([OX1-])]	(Sulfonic_acid)
Frag_265	[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]	(Sulfonamide)
Frag_268	[SX4;$([H1]),$([H0][#6])](=[!#6])(=[!#6])[!#6]	(Sulfonic_derivative)
Frag_278	[SX2;$([H1]),$([H0][#6])][!#6]	(Sulfenic_derivative)
Frag_283	[PX4;$([H1]),$([H0][#6])](=[OX1])([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])]	(Phosphonic_acid)
Frag_289	[PX4;$([H1]),$([H0][#6])](=[!#6])([!#6])[!#6]	(Phosphonic_acid_derivative)
Frag_291	[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([$([OX2H]),$([OX1-])])[OX2][#6;!$(C=[O,N,S])]	(Phosphoric_monoester)
Frag_292	[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([OX2][#6;!$(C=[O,N,S])])[OX2][#6;!$(C=[O,N,S])]	(Phosphoric_diester)
Frag_300	[PX4D4](=[!#6])([!#6])([!#6])[!#6]	(Phosphoric_acid_derivative)
Frag_329	[!#6;!R0]	(Heterocyclic)
Frag_332	[D4R;$(*(@*)(@*)(@*)@*)]	(Spiro)
Frag_333	[R;$(*(@*)(@*)@*);!$([R2;$(*(@*)(@*)(@*)@*)])]@[R;$(*(@*)(@*)@*);!$([R2;$(*(@*)(@*)(@*)@*)])]	(Annelated_rings)
