Benzenoids
Hydrocarbon derivatives
Hydrocarbons
Lignans, neolignans and related compounds
Lipids and lipid-like molecules
Nucleosides, nucleotides, and analogues
Organic 1,3-dipolar compounds
Organic acids and derivatives
Organic nitrogen compounds
Organic oxygen compounds
Organoheterocyclic compounds
Organophosphorus compounds
Organosulfur compounds
Phenylpropanoids and polyketides
